                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2015 University of Southern California                    

                                   CYCLOMATIC COMPLEXITY RESULTS                                   
                              Generated by UCC v.2015.12 on 5 30 2016                              
                                     UCC -dir src UCCThread.cpp                                     

                                          RESULTS BY FILE                                          

Cyclomatic Complexity
Total(CC1),Total(CC2),Total(CC3),Average(CC1),Risk,File Name
397,460,397,17.26,Medium,src/UCCThread.cpp

397,460,397,,Totals,23  Functions in  1  File(s)
17.26,20.00,17.26,,Averages,23.0  Functions per File   (Averages = Totals/Functions)

                                        RESULTS BY FUNCTION                                        

Cyclomatic Complexity
CC1,CC2,CC3,Risk,Function Name,File Name
6,7,6,Low,void _prv_Init_threadStatus,src/UCCThread.cpp
50,66,50,High,void prv_WorkThread_Function,src/UCCThread.cpp
2,2,2,Low,int _prv_IncrementWorkDone,src/UCCThread.cpp
4,4,4,Low,void _prv_SaveOrWriteUncountedFile,src/UCCThread.cpp
23,24,23,High,_prv_ListToThreads,src/UCCThread.cpp
1,1,1,Low,unsigned int GetCPU_count,src/UCCThread.cpp
2,2,2,Low,void ThreadSleep,src/UCCThread.cpp
51,60,51,Very High,void ReadSrcFile,src/UCCThread.cpp
2,2,2,Low,int ReadFileLines,src/UCCThread.cpp
46,64,46,High,int DiffPairsInList,src/UCCThread.cpp
30,34,30,High,int DupCheckLanguages,src/UCCThread.cpp
53,62,53,Very High,bool FindDuplicateFor,src/UCCThread.cpp
1,1,1,Low,void CompareForDuplicate,src/UCCThread.cpp
1,1,1,Low,int DiffPairsThreads,src/UCCThread.cpp
7,7,7,Low,void DupCheckingThreads,src/UCCThread.cpp
23,25,23,High,int ReadFilesInList,src/UCCThread.cpp
32,34,32,High,void ProcessSourceListFile,src/UCCThread.cpp
1,1,1,Low,int ReadFilesThreads,src/UCCThread.cpp
20,20,20,Medium,int StartWorkerThreads,src/UCCThread.cpp
2,2,2,Low,CounterForEachLangType*GetThread_pCounterForEachLanguage,src/UCCThread.cpp
7,8,7,Low,void FinishWorkerThreads,src/UCCThread.cpp
28,28,28,High,void CombineThreadResults,src/UCCThread.cpp
5,5,5,Low,unsigned int NumThreadsBusy,src/UCCThread.cpp

397,460,397,Totals,23  Functions,1  File(s)
17.26,20.00,17.26,Averages,23.0  Functions per File   (Averages = Totals/Functions)
