                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2015 University of Southern California                    

                                         SLOC COUNT RESULTS                                         
                              Generated by UCC v.2015.12 on 5 30 2016                              
                                            UCC -dir gui                                            

                                      RESULTS FOR C_CPP FILES                                      

Total,Blank,Comments,,Compiler,Data,Exec.,Logical,Physical,File,Module
Lines,Lines,Whole,Embedded,Direct.,Decl.,Instr.,SLOC,SLOC,Type,Name
69,6,18,0,4,0,28,32,45,CODE,gui/GAsciiDialog.cpp
37,8,12,2,5,1,5,11,17,CODE,gui/GAsciiDialog.h
335,37,49,0,4,6,167,177,249,CODE,gui/GExtensionDialog.cpp
54,10,12,5,6,12,6,24,32,CODE,gui/GExtensionDialog.h
32,4,12,0,2,0,9,11,16,CODE,gui/GFileOpenMenu.cpp
32,6,12,1,5,0,4,9,14,CODE,gui/GFileOpenMenu.h
1632,159,206,14,33,37,819,889,1267,CODE,gui/GMainWindow.cpp
106,13,14,6,16,42,13,71,79,CODE,gui/GMainWindow.h
58,14,14,0,7,0,13,20,30,CODE,gui/GSideBySideDialog.cpp
39,9,12,1,6,2,4,12,18,CODE,gui/GSideBySideDialog.h
115,6,19,0,3,1,57,61,90,CODE,gui/GTableDialog.cpp
37,8,12,2,5,1,5,11,17,CODE,gui/GTableDialog.h
42,5,15,0,6,0,13,19,22,CODE,gui/GUtil.cpp
25,4,12,1,4,1,1,6,9,CODE,gui/GUtil.h
25,2,14,0,2,0,5,7,9,CODE,gui/Qt_main.cpp
60,15,22,0,5,1,10,16,23,CODE,gui/UCCWorker.cpp
50,13,17,2,8,3,4,15,20,CODE,gui/UCCWorker.h

                                          RESULTS SUMMARY                                          

Total,Blank,Comments,,Compiler,Data,Exec.,,File,SLOC
Lines,Lines,Whole,Embedded,Direct.,Decl.,Instr.,SLOC,Type,Definition
2748,319,472,34,121,108,1728,1957,CODE,Physical
2748,319,472,34,121,107,1163,1391,CODE,Logical

Number of files successfully accessed,17,out of,17

Ratio of Physical to Logical SLOC,    1.41

                                TOTAL OCCURRENCES OF C_CPP KEYWORDS                                
Compiler Directives,,Data Keywords,,Executable Keywords
#define,14,asm,0,break,3
#dictionary,0,auto,0,case,0
#error,0,bool,25,catch,0
#if,6,char,5,cerr,0
#ifdef,6,class,10,cin,0
#ifndef,8,const,8,clog,0
#else,4,double,2,const_cast,0
#elif,1,enum,0,continue,0
#endif,20,explicit,1,cout,1
#import,0,extern,1,default,0
#include,62,FILE,0,delete,17
#line,0,float,0,do,0
#module,0,friend,0,dynamic_cast,0
#pragma,0,inline,0,else,48
#undef,0,int,24,entry,0
#using,0,long,2,for,33
# define,0,mutable,0,goto,0
# dictionary,0,namespace,1,if,212
# error,0,operator,0,new,23
# if,0,register,0,reinterpret_cast,0
# ifdef,0,short,0,return,38
# ifndef,0,static,1,sizeof,3
# else,0,string,10,stderr,0
# elif,0,struct,0,stdin,0
# endif,0,template,0,stdout,0
# import,0,typedef,0,switch,0
# include,0,union,0,static_cast,0
# line,0,unsigned,6,throw,0
# module,0,using,0,try,0
# pragma,0,virtual,0,typeid,0
# undef,0,void,95,while,7
# using,0,volatile,0,
,,wchar_t,0,
