                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2015 University of Southern California                    

                                   CYCLOMATIC COMPLEXITY RESULTS                                   
                              Generated by UCC v.2015.12 on 5 30 2016                              
                                            UCC -dir gui                                            

                                          RESULTS BY FILE                                          

Cyclomatic Complexity
Total(CC1),Total(CC2),Total(CC3),Average(CC1),Risk,File Name
7,7,7,3.50,Low,gui/GAsciiDialog.cpp
40,42,40,3.64,Low,gui/GExtensionDialog.cpp
2,2,2,2.00,Low,gui/GFileOpenMenu.cpp
233,246,233,5.68,Low,gui/GMainWindow.cpp
5,5,5,2.50,Low,gui/GSideBySideDialog.cpp
21,25,21,10.50,Medium,gui/GTableDialog.cpp
3,3,3,3.00,Low,gui/GUtil.cpp
1,1,1,1.00,Low,gui/Qt_main.cpp
4,4,4,1.00,Low,gui/UCCWorker.cpp

316,335,316,,Totals,65  Functions in  9  File(s)
4.86,5.15,4.86,,Averages,7.2  Functions per File   (Averages = Totals/Functions)

                                        RESULTS BY FUNCTION                                        

Cyclomatic Complexity
CC1,CC2,CC3,Risk,Function Name,File Name
5,5,5,Low,:QDialog,gui/GAsciiDialog.cpp
2,2,2,Low,void GAsciiDialog::on_cboResultsSelect_currentIndexChanged,gui/GAsciiDialog.cpp
1,1,1,Low,:QDialog,gui/GExtensionDialog.cpp
1,1,1,Low,GExtensionDialog::~GExtensionDialog,gui/GExtensionDialog.cpp
9,9,9,Low,void GExtensionDialog::languageSelected,gui/GExtensionDialog.cpp
5,5,5,Low,void GExtensionDialog::updateCustomExtensions,gui/GExtensionDialog.cpp
1,1,1,Low,void GExtensionDialog::itemCustomContextMenuRequested,gui/GExtensionDialog.cpp
3,3,3,Low,void GExtensionDialog::revertSelLangExt,gui/GExtensionDialog.cpp
5,5,5,Low,void GExtensionDialog::revertAllLangExt,gui/GExtensionDialog.cpp
8,9,8,Low,void GExtensionDialog::on_btnAddExt_clicked,gui/GExtensionDialog.cpp
3,4,3,Low,void GExtensionDialog::on_btnRemoveExt_clicked,gui/GExtensionDialog.cpp
1,1,1,Low,void GExtensionDialog::on_btnClose_clicked,gui/GExtensionDialog.cpp
3,3,3,Low,void GExtensionDialog::closeEvent,gui/GExtensionDialog.cpp
2,2,2,Low,:QDialog,gui/GFileOpenMenu.cpp
2,2,2,Low,:QMainWindow,gui/GMainWindow.cpp
3,3,3,Low,GMainWindow::~GMainWindow,gui/GMainWindow.cpp
67,72,67,Very High,void GMainWindow::on_btnStart_clicked,gui/GMainWindow.cpp
1,1,1,Low,void GMainWindow::on_btnStop_clicked,gui/GMainWindow.cpp
1,1,1,Low,void GMainWindow::executionRunning,gui/GMainWindow.cpp
1,1,1,Low,void GMainWindow::updateLog,gui/GMainWindow.cpp
3,3,3,Low,void GMainWindow::updateProgress,gui/GMainWindow.cpp
5,5,5,Low,void GMainWindow::on_actionOpen_File_triggered,gui/GMainWindow.cpp
2,2,2,Low,void GMainWindow::on_actionEdit_Extensions_triggered,gui/GMainWindow.cpp
1,1,1,Low,void GMainWindow::on_actionExit_triggered,gui/GMainWindow.cpp
3,3,3,Low,void GMainWindow::on_actionUser_Manual_triggered,gui/GMainWindow.cpp
3,3,3,Low,void GMainWindow::on_actionRelease_Notes_triggered,gui/GMainWindow.cpp
3,3,3,Low,void GMainWindow::on_actionLicense_triggered,gui/GMainWindow.cpp
2,2,2,Low,void GMainWindow::on_actionAbout_triggered,gui/GMainWindow.cpp
4,5,4,Low,void GMainWindow::on_btnAddFileA_clicked,gui/GMainWindow.cpp
4,5,4,Low,void GMainWindow::on_btnAddFileB_clicked,gui/GMainWindow.cpp
2,2,2,Low,void GMainWindow::on_btnRemoveFileA_clicked,gui/GMainWindow.cpp
2,2,2,Low,void GMainWindow::on_btnRemoveFileB_clicked,gui/GMainWindow.cpp
5,6,5,Low,void GMainWindow::on_btnAddFolderA_clicked,gui/GMainWindow.cpp
5,6,5,Low,void GMainWindow::on_btnAddFolderB_clicked,gui/GMainWindow.cpp
1,1,1,Low,void GMainWindow::listACustomContextMenuRequested,gui/GMainWindow.cpp
1,1,1,Low,void GMainWindow::listBCustomContextMenuRequested,gui/GMainWindow.cpp
2,2,2,Low,void GMainWindow::removeAllFilesA,gui/GMainWindow.cpp
2,2,2,Low,void GMainWindow::removeAllFilesB,gui/GMainWindow.cpp
1,1,1,Low,void GMainWindow::on_btnClearSelExt_clicked,gui/GMainWindow.cpp
2,2,2,Low,void GMainWindow::on_chkDifferencing_clicked,gui/GMainWindow.cpp
1,1,1,Low,void GMainWindow::on_chkModThreshold_clicked,gui/GMainWindow.cpp
1,1,1,Low,void GMainWindow::on_chkDupThreshold_clicked,gui/GMainWindow.cpp
1,1,1,Low,void GMainWindow::on_chkTruncThreshold_clicked,gui/GMainWindow.cpp
1,1,1,Low,void GMainWindow::on_chkRamLimit_clicked,gui/GMainWindow.cpp
1,1,1,Low,void GMainWindow::on_chkThreads_clicked,gui/GMainWindow.cpp
2,2,2,Low,void GMainWindow::on_btnBrowseOutputDir_clicked,gui/GMainWindow.cpp
3,3,3,Low,void GMainWindow::on_chkExtensionFile_clicked,gui/GMainWindow.cpp
7,7,7,Low,void GMainWindow::on_btnBrowseExtensionFile_clicked,gui/GMainWindow.cpp
1,1,1,Low,QStringList GMainWindow::getFilters,gui/GMainWindow.cpp
6,6,6,Low,void GMainWindow::getDefaultExtensions,gui/GMainWindow.cpp
1,1,1,Low,void GMainWindow::extensionsUpdated,gui/GMainWindow.cpp
15,16,15,Medium,bool GMainWindow::parseExtensionsFile,gui/GMainWindow.cpp
6,7,6,Low,bool GMainWindow::writeExtensionsFile,gui/GMainWindow.cpp
38,39,38,High,bool GMainWindow::parsePreferencesFile,gui/GMainWindow.cpp
21,22,21,High,bool GMainWindow::writePreferencesFile,gui/GMainWindow.cpp
4,4,4,Low,ui,gui/GSideBySideDialog.cpp
1,1,1,Low,GSideBySideDialog::~GSideBySideDialog,gui/GSideBySideDialog.cpp
5,5,5,Low,:QDialog,gui/GTableDialog.cpp
16,20,16,Medium,void GTableDialog::on_cboResultsSelect_currentIndexChanged,gui/GTableDialog.cpp
3,3,3,Low,bool GUtil::openFile,gui/GUtil.cpp
1,1,1,Low,int main,gui/Qt_main.cpp
1,1,1,Low,void WorkerThread::run,gui/UCCWorker.cpp
1,1,1,Low,UCCWorker::UCCWorker,gui/UCCWorker.cpp
1,1,1,Low,UCCWorker::~UCCWorker,gui/UCCWorker.cpp
1,1,1,Low,WorkerThread*UCCWorker::startWorkInAThread,gui/UCCWorker.cpp

316,335,316,Totals,65  Functions,9  File(s)
4.86,5.15,4.86,Averages,7.2  Functions per File   (Averages = Totals/Functions)
