                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2015 University of Southern California                    

                                         SLOC COUNT RESULTS                                         
                              Generated by UCC v.2015.12 on 5 30 2016                              
                                  UCC -d -dir ./src ../UCC_old/src                                  

                                      RESULTS FOR C_CPP FILES                                      

Total,Blank,Comments,,Compiler,Data,Exec.,Logical,Physical,File,Module
Lines,Lines,Whole,Embedded,Direct.,Decl.,Instr.,SLOC,SLOC,Type,Name
774,58,144,7,1,21,373,395,572,CODE,../UCC_old/src/CAdaCounter.cpp
36,5,12,0,4,6,2,12,19,CODE,../UCC_old/src/CAdaCounter.h
599,43,88,0,1,19,323,343,468,CODE,../UCC_old/src/CBashCounter.cpp
36,5,13,1,4,4,3,11,18,CODE,../UCC_old/src/CBashCounter.h
845,90,117,6,2,41,485,528,638,CODE,../UCC_old/src/CBatchCounter.cpp
38,6,13,1,4,5,3,12,19,CODE,../UCC_old/src/CBatchCounter.h
162,10,29,0,2,1,105,108,123,CODE,../UCC_old/src/cc_main.cpp
278,26,77,106,32,40,30,102,175,CODE,../UCC_old/src/cc_main.h
222,16,10,0,1,0,193,194,196,CODE,../UCC_old/src/CCCounter.cpp
25,4,12,0,4,0,2,6,9,CODE,../UCC_old/src/CCCounter.h
658,57,100,11,1,25,335,361,501,CODE,../UCC_old/src/CCFScriptCounter.cpp
34,5,12,0,4,3,2,9,17,CODE,../UCC_old/src/CCFScriptCounter.h
678,53,119,7,2,30,309,341,506,CODE,../UCC_old/src/CCJavaCsCounter.cpp
35,5,12,0,4,4,2,10,18,CODE,../UCC_old/src/CCJavaCsCounter.h
887,81,177,11,2,22,418,442,629,CODE,../UCC_old/src/CCodeCounter.cpp
112,15,13,63,5,28,48,81,84,CODE,../UCC_old/src/CCodeCounter.h
281,26,30,1,1,2,197,200,225,CODE,../UCC_old/src/CColdFusionCounter.cpp
29,4,12,0,4,2,2,8,13,CODE,../UCC_old/src/CColdFusionCounter.h
346,25,40,1,1,2,233,236,281,CODE,../UCC_old/src/CCsharpCounter.cpp
68,9,30,0,4,3,8,15,29,CODE,../UCC_old/src/CCsharpCounter.h
782,71,113,1,1,33,405,439,598,CODE,../UCC_old/src/CCshCounter.cpp
38,6,13,5,4,5,5,14,19,CODE,../UCC_old/src/CCshCounter.h
262,21,56,1,1,9,153,163,185,CODE,../UCC_old/src/CCssCounter.cpp
30,5,12,0,4,2,2,8,13,CODE,../UCC_old/src/CCssCounter.h
17,2,9,0,1,0,3,4,6,CODE,../UCC_old/src/CDataCounter.cpp
25,4,12,0,4,0,2,6,9,CODE,../UCC_old/src/CDataCounter.h
1042,68,137,19,1,30,558,589,837,CODE,../UCC_old/src/CFortranCounter.cpp
39,6,13,1,4,6,3,13,20,CODE,../UCC_old/src/CFortranCounter.h
140,13,21,0,1,0,95,96,106,CODE,../UCC_old/src/CHtmlCounter.cpp
73,8,36,0,4,0,10,14,29,CODE,../UCC_old/src/CHtmlCounter.h
139,14,13,0,1,0,107,108,112,CODE,../UCC_old/src/CJavaCounter.cpp
37,5,18,0,4,0,4,8,14,CODE,../UCC_old/src/CJavaCounter.h
1040,89,150,6,1,29,528,558,801,CODE,../UCC_old/src/CJavascriptCounter.cpp
120,12,54,1,4,5,16,25,54,CODE,../UCC_old/src/CJavascriptCounter.h
209,21,54,0,1,13,81,95,134,CODE,../UCC_old/src/CMakefileCounter.cpp
30,5,12,0,4,3,2,9,13,CODE,../UCC_old/src/CMakefileCounter.h
586,54,102,11,1,26,293,320,430,CODE,../UCC_old/src/CMatlabCounter.cpp
33,5,12,0,4,4,2,10,16,CODE,../UCC_old/src/CMatlabCounter.h
463,38,75,3,1,19,231,251,350,CODE,../UCC_old/src/CMidasCounter.cpp
32,5,12,0,4,3,2,9,15,CODE,../UCC_old/src/CMidasCounter.h
441,56,84,2,2,12,159,173,301,CODE,../UCC_old/src/CmpMngr.cpp
87,20,24,5,5,20,11,36,43,CODE,../UCC_old/src/CmpMngr.h
385,50,26,1,5,15,117,137,309,CODE,../UCC_old/src/CmpMngrHtml.cpp
104,21,0,1,14,18,26,58,83,CODE,../UCC_old/src/CmpMngrHtml.h
40,9,9,0,1,0,19,20,22,CODE,../UCC_old/src/CNeXtMidasCounter.cpp
25,4,12,0,4,0,2,6,9,CODE,../UCC_old/src/CNeXtMidasCounter.h
1236,103,178,13,1,38,632,671,955,CODE,../UCC_old/src/CPascalCounter.cpp
36,5,12,0,4,6,2,12,19,CODE,../UCC_old/src/CPascalCounter.h
988,74,135,4,1,28,514,543,779,CODE,../UCC_old/src/CPerlCounter.cpp
37,5,12,0,4,6,2,12,20,CODE,../UCC_old/src/CPerlCounter.h
875,73,129,7,1,27,463,491,673,CODE,../UCC_old/src/CPhpCounter.cpp
38,6,13,1,4,4,3,11,19,CODE,../UCC_old/src/CPhpCounter.h
1122,107,198,20,2,44,537,583,817,CODE,../UCC_old/src/CPythonCounter.cpp
37,6,12,1,4,7,3,14,19,CODE,../UCC_old/src/CPythonCounter.h
666,51,98,9,1,25,329,355,517,CODE,../UCC_old/src/CRubyCounter.cpp
34,6,12,1,4,5,2,11,16,CODE,../UCC_old/src/CRubyCounter.h
673,38,77,0,5,14,391,410,558,CODE,../UCC_old/src/CSqlCounter.cpp
43,6,18,0,4,3,4,11,19,CODE,../UCC_old/src/CSqlCounter.h
