                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2015 University of Southern California                    

                                  SOURCE CODE DIFFERENTIAL RESULTS                                  
                              Generated by UCC v.2015.12 on 5 30 2016                              
                                  UCC -d -dir ./src ../UCC_old/src                                  

New Lines,Deleted Lines,Modified Lines,Unmodified Lines,Modification Type,Language,Module A,Module B
2,2,0,393,Mod,"C_CPP","./src/CAdaCounter.cpp","../UCC_old/src/CAdaCounter.cpp"
0,2,0,12,Mod,"C_CPP","./src/CAdaCounter.h","../UCC_old/src/CAdaCounter.h"
0,115,0,0,Del,"C_CPP","./src/CAssemblyCounter.cpp","NA"
0,14,0,0,Del,"C_CPP","./src/CAssemblyCounter.h","NA"
0,0,0,343,Unmod,"C_CPP","./src/CBashCounter.cpp","../UCC_old/src/CBashCounter.cpp"
0,2,0,11,Mod,"C_CPP","./src/CBashCounter.h","../UCC_old/src/CBashCounter.h"
7,32,18,503,Mod,"C_CPP","./src/CBatchCounter.cpp","../UCC_old/src/CBatchCounter.cpp"
0,2,1,11,Mod,"C_CPP","./src/CBatchCounter.h","../UCC_old/src/CBatchCounter.h"
0,62,0,108,Mod,"C_CPP","./src/cc_main.cpp","../UCC_old/src/cc_main.cpp"
10,28,3,89,Mod,"C_CPP","./src/cc_main.h","../UCC_old/src/cc_main.h"
10,3,1,183,Mod,"C_CPP","./src/CCCounter.cpp","../UCC_old/src/CCCounter.cpp"
1,3,2,3,Mod,"C_CPP","./src/CCCounter.h","../UCC_old/src/CCCounter.h"
0,0,0,361,Unmod,"C_CPP","./src/CCFScriptCounter.cpp","../UCC_old/src/CCFScriptCounter.cpp"
0,2,0,9,Mod,"C_CPP","./src/CCFScriptCounter.h","../UCC_old/src/CCFScriptCounter.h"
0,425,0,0,Del,"C_CPP","./src/CCJavaCsScalaCounter.cpp","NA"
0,12,0,0,Del,"C_CPP","./src/CCJavaCsScalaCounter.h","NA"
0,622,0,0,Del,"C_CPP","./src/CCobolCounter.cpp","NA"
0,16,0,0,Del,"C_CPP","./src/CCobolCounter.h","NA"
0,847,13,429,Mod,"C_CPP","./src/CCodeCounter.cpp","../UCC_old/src/CCodeCounter.cpp"
