                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2015 University of Southern California                    

                                   CYCLOMATIC COMPLEXITY RESULTS                                   
                              Generated by UCC v.2015.12 on 5 30 2016                              
                              UCC -d -dir ./src ../UCC_old/src -ascii                              

                                          RESULTS BY FILE                                          

Cyclomatic Complexity
 Total_CC1 Total_CC2 Total_CC3 Average_CC1  Risk        |   Name
--------------------------------------------------------+-----------------------
        83        97        81     11.86    Medium      |   ../UCC_old/src/CAdaCounter.cpp
        77       101        77     15.40    Medium      |   ../UCC_old/src/CBashCounter.cpp
        83       120        83     13.83    Medium      |   ../UCC_old/src/CBatchCounter.cpp
         6         6         6      2.00    Low         |   ../UCC_old/src/cc_main.cpp
         1         1         1      1.00    Low         |   ../UCC_old/src/CCCounter.cpp
        81       120        77     20.25    High        |   ../UCC_old/src/CCFScriptCounter.cpp
        98       141        94     19.60    Medium      |   ../UCC_old/src/CCJavaCsCounter.cpp
       117       151       114      7.80    Low         |   ../UCC_old/src/CCodeCounter.cpp
        12        12        12      4.00    Low         |   ../UCC_old/src/CColdFusionCounter.cpp
        21        30        21      3.50    Low         |   ../UCC_old/src/CCsharpCounter.cpp
       102       139       102     17.00    Medium      |   ../UCC_old/src/CCshCounter.cpp
        15        18        13      5.00    Low         |   ../UCC_old/src/CCssCounter.cpp
         1         1         1      1.00    Low         |   ../UCC_old/src/CDataCounter.cpp
       146       184       143     20.86    High        |   ../UCC_old/src/CFortranCounter.cpp
         5         5         5      1.00    Low         |   ../UCC_old/src/CHtmlCounter.cpp
         2         2         2      1.00    Low         |   ../UCC_old/src/CJavaCounter.cpp
       131       173       127     10.08    Medium      |   ../UCC_old/src/CJavascriptCounter.cpp
        25        29        25      6.25    Low         |   ../UCC_old/src/CMakefileCounter.cpp
        64        77        57     12.80    Medium      |   ../UCC_old/src/CMatlabCounter.cpp
        56        65        56     14.00    Medium      |   ../UCC_old/src/CMidasCounter.cpp
        53        60        53      4.82    Low         |   ../UCC_old/src/CmpMngr.cpp
        40        43        36      3.33    Low         |   ../UCC_old/src/CmpMngrHtml.cpp
         1         1         1      1.00    Low         |   ../UCC_old/src/CNeXtMidasCounter.cpp
       150       185       147     21.43    High        |   ../UCC_old/src/CPascalCounter.cpp
       138       187       138     19.71    Medium      |   ../UCC_old/src/CPerlCounter.cpp
       108       148       103     21.60    High        |   ../UCC_old/src/CPhpCounter.cpp
