                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2015 University of Southern California                    

                                  SOURCE CODE DIFFERENTIAL RESULTS                                  
                              Generated by UCC v.2015.12 on 5 30 2016                              
                              UCC -d -dir ./src ../UCC_old/src -ascii                              

New             | Deleted         | Modified        | Unmodified      | Module         
Lines           | Lines           | Lines           | Lines           | Name           
------------------------------------------------------------------------------------------------------------------------
2               | 2               | 0               | 393             | ../UCC_old/src/CAdaCounter.cpp
0               | 2               | 0               | 12              | ../UCC_old/src/CAdaCounter.h
0               | 115             | 0               | 0               | ./src/CAssemblyCounter.cpp
0               | 14              | 0               | 0               | ./src/CAssemblyCounter.h
0               | 0               | 0               | 343             | ../UCC_old/src/CBashCounter.cpp
0               | 2               | 0               | 11              | ../UCC_old/src/CBashCounter.h
7               | 32              | 18              | 503             | ../UCC_old/src/CBatchCounter.cpp
0               | 2               | 1               | 11              | ../UCC_old/src/CBatchCounter.h
0               | 62              | 0               | 108             | ../UCC_old/src/cc_main.cpp
10              | 28              | 3               | 89              | ../UCC_old/src/cc_main.h
10              | 3               | 1               | 183             | ../UCC_old/src/CCCounter.cpp
1               | 3               | 2               | 3               | ../UCC_old/src/CCCounter.h
0               | 0               | 0               | 361             | ../UCC_old/src/CCFScriptCounter.cpp
0               | 2               | 0               | 9               | ../UCC_old/src/CCFScriptCounter.h
0               | 425             | 0               | 0               | ./src/CCJavaCsScalaCounter.cpp
0               | 12              | 0               | 0               | ./src/CCJavaCsScalaCounter.h
0               | 622             | 0               | 0               | ./src/CCobolCounter.cpp
0               | 16              | 0               | 0               | ./src/CCobolCounter.h
0               | 847             | 13              | 429             | ../UCC_old/src/CCodeCounter.cpp
0               | 109             | 0               | 81              | ../UCC_old/src/CCodeCounter.h
0               | 0               | 1               | 199             | ../UCC_old/src/CColdFusionCounter.cpp
0               | 2               | 0               | 8               | ../UCC_old/src/CColdFusionCounter.h
12              | 1               | 0               | 224             | ../UCC_old/src/CCsharpCounter.cpp
1               | 9               | 2               | 12              | ../UCC_old/src/CCsharpCounter.h
6               | 3               | 6               | 427             | ../UCC_old/src/CCshCounter.cpp
